[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] Script: step_03_significance
[22:25:47] [INFO] Started: 2026-08-07T22:25:47.205139
[22:25:47] [INFO] ================================================================================
[22:25:47] [SUCCESS] === GATE 3R: GENUINE MONTE CARLO CALIBRATION ===
[22:25:47] [PROCESS] Pre-calculating base True-D model fluxes...
[22:25:47] [INFO] 
[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] 
--- Running True-D Monte Carlo Simulations (200 realizations) ---
[08:34:58] [PROCESS] Parent 0: LL_D = -17932.13, T = 77.85
[08:35:00] [PROCESS] Parent 1: LL_D = -18062.01, T = 337.60
[08:35:01] [PROCESS] Parent 2: LL_D = -18108.88, T = 431.33
[08:35:04] [PROCESS] Parent 3: LL_D = -18108.88, T = 431.33
[08:35:06] [PROCESS] Parent 4: LL_D = -18066.88, T = 347.33
[08:35:07] [PROCESS] Parent 5: LL_D = -18108.88, T = 431.33
[08:35:08] [PROCESS] Parent 6: LL_D = -18108.88, T = 431.33
[08:35:08] [PROCESS] Parent 7: LL_D = -18108.88, T = 431.33
[08:35:09] [PROCESS] Parent 8: LL_D = -18108.88, T = 431.33
[08:35:09] [PROCESS] Parent 9: LL_D = -18108.88, T = 431.33
[08:35:12] [PROCESS] Parent 10: LL_D = -17896.44, T = 6.45
[08:35:14] [PROCESS] Parent 11: LL_D = -18108.88, T = 431.33
[08:35:18] [PROCESS] Parent 12: LL_D = -18108.88, T = 431.33
[08:35:18] [PROCESS] Parent 13: LL_D = -18108.88, T = 431.33
[08:35:21] [PROCESS] Parent 14: LL_D = -18108.88, T = 431.33
[08:35:24] [PROCESS] Parent 15: LL_D = -18108.88, T = 431.33
[08:35:24] [PROCESS] Parent 16: LL_D = -18108.88, T = 431.33
[08:35:25] [PROCESS] Parent 17: LL_D = -18108.88, T = 431.33
[08:35:25] [PROCESS] Parent 18: LL_D = -18108.88, T = 431.33
[08:35:26] [PROCESS] Parent 19: LL_D = -18108.88, T = 431.33
[08:35:27] [PROCESS] Parent 20: LL_D = -18108.88, T = 431.33
[08:35:27] [PROCESS] Parent 21: LL_D = -18108.88, T = 431.33
[08:35:28] [PROCESS] Parent 22: LL_D = -18108.88, T = 431.33
[08:35:28] [PROCESS] Parent 23: LL_D = -18108.88, T = 431.33
[08:35:29] [PROCESS] Parent 24: LL_D = -18108.88, T = 431.33
[08:35:29] [PROCESS] Parent 25: LL_D = -18108.88, T = 431.33
[08:35:30] [PROCESS] Parent 26: LL_D = -18108.88, T = 431.33
[08:35:30] [PROCESS] Parent 27: LL_D = -18108.88, T = 431.33
[08:35:32] [PROCESS] Parent 28: LL_D = -18108.88, T = 431.33
[08:35:32] [PROCESS] Parent 29: LL_D = -18108.88, T = 431.33
[08:35:33] [PROCESS] Parent 30: LL_D = -18108.88, T = 431.33
[08:35:33] [PROCESS] Parent 31: LL_D = -18108.88, T = 431.33
[08:35:34] [PROCESS] Parent 32: LL_D = -18108.88, T = 431.33
[08:35:35] [PROCESS] Parent 33: LL_D = -18108.88, T = 431.33
[08:35:35] [PROCESS] Parent 34: LL_D = -18108.88, T = 431.33
[08:35:39] [PROCESS] Parent 35: LL_D = -18108.88, T = 431.33
[08:35:42] [PROCESS] Parent 36: LL_D = -18108.88, T = 431.33
[08:35:42] [PROCESS] Parent 37: LL_D = -18108.88, T = 431.33
[08:35:43] [PROCESS] Parent 38: LL_D = -18108.88, T = 431.33
[08:35:43] [PROCESS] Parent 39: LL_D = -18108.88, T = 431.33
[08:35:44] [PROCESS] Parent 40: LL_D = -18108.88, T = 431.33
[08:35:45] [PROCESS] Parent 41: LL_D = -18108.88, T = 431.33
[08:35:45] [PROCESS] Parent 42: LL_D = -18108.88, T = 431.33
[08:35:45] [SUCCESS] 
[SUCCESS] Calibration saved to /Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-BBN/results/gate3_significance.json
[08:35:45] [SUCCESS]   [OK] 36598.6s
[08:35:45] [PROCESS] [RUN] step_04_prior: Gate 4: TEP Absorber Field Closure
